date,qom,teh,qaz,isf,nkh,rkh,cha,koh,gil,zan,maz,sem,skh,alb,mar,sis,bsh,ard,eaz,khu,hor,waz,ksh,ham,kor,lor,ilm,gol,kmn,yzd,frs,Total,reco,death,test
01/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,82211,57023,5118,341662
02/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2729,83505,59273,5209,353012
02/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824,84802,60965,5297,365723
02/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2959,85996,63113,5391,377396
02/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054,87026,64843,5481,389507
02/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3176,88194,66596,5574,399927
02/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281,89328,68193,5650,410075
02/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361,90481,69657,5710,421313
02/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3439,91472,70933,5806,432329
02/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488,92584,72439,5877,442590
02/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3547,93657,73791,5957,453386
02/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3598,94640,75103,6028,463295
02/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652,95646,76318,6091,475023
02/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3702,96448,77350,6156,484541
02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736,97424,78422,6203,496273
02/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3792,98647,79397,6277,508288
02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3846,99970,80475,6340,519543
02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3921,101650,81587,6418,531275
